folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_GAS_TO_HVC,f_HABER_BOSCH,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
222_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.103999999999977,295.865575,23.28782,14.409403,12.079589,12.334116,12.331759,9.472082,9.154507,8.942486,8.490361,6.691234,5.668935
223_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.113999999999977,291.986004,27.144833,15.941583,13.363855,13.671242,13.313988,11.261529,10.683749,10.294441,9.365984,8.194222,6.793734
224_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.123999999999977,285.594276,28.137594,16.494438,13.601686,14.021985,13.571407,11.534427,10.822692,10.263032,9.487267,8.251408,6.674347
225_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.133999999999977,270.526919,25.977758,15.296805,12.926853,13.086919,12.515911,10.549419,9.893582,9.353351,8.858235,7.449737,6.083083
226_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1439999999999766,258.260482,27.587197,15.959753,13.57312,13.37857,13.21698,11.575186,10.976147,10.566371,9.587136,8.643998,7.01811
227_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1539999999999764,255.45648,24.556078,14.292701,12.50568,12.032659,11.726052,10.026037,9.474694,8.90974,8.280084,7.129498,5.762646
228_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.163999999999976,247.573573,26.524757,15.671473,13.25821,13.05061,12.878505,10.995342,10.394518,9.851714,9.107719,7.955065,6.442661
229_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.173999999999976,229.147029,26.353998,16.179654,13.411665,13.436181,13.068641,10.813462,10.373098,9.752426,9.278922,7.814365,6.306135
230_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.183999999999976,229.105313,28.444672,16.813742,14.059145,13.611846,13.641804,11.912228,11.170458,10.540166,9.724498,8.654561,6.976368
231_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1939999999999755,225.162552,24.670486,14.482223,12.548038,12.493662,12.133653,10.116539,9.646502,9.283593,8.591502,7.283279,6.210184
