folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_CAR_FUEL_CELL,f_CAR_NG,f_CAR_DIESEL,f_CAR_HEV,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
203_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.913999999999981,386.575987,187.654555,9.641483,2.309678,5.910703,2.612137,3.788595,8.1e-05,2.3e-05
204_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9239999999999813,382.257214,177.003884,3.439568,11.367136,1.999803,5.5054,1.06685,6.7e-05,2e-05
205_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.933999999999981,382.088197,178.788033,5.796803,1.601566,1.028486,1.280338,1.340041,0.000159,5.4e-05
206_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.943999999999981,382.224028,177.266122,2.513739,17.587289,2.086362,7.627418,1.477336,5e-05,1.6e-05
207_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9539999999999806,381.988755,180.867925,6.897618,10.192628,4.513471,5.795903,1.739226,9.4e-05,2.7e-05
208_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9639999999999804,379.01884,184.428079,7.892543,6.278957,2.831728,0.862428,1.863032,3.2e-05,1e-05
209_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.97399999999998,361.275102,177.362553,3.143094,14.033566,8.325868,2.651446,1.36756,6.3e-05,1.9e-05
210_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.98399999999998,355.593386,184.205304,2.010707,2.175371,1.209087,11.426412,0.832404,5.7e-05,1.9e-05
211_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.99399999999998,347.826668,183.419848,3.16705,1.587328,2.021805,3.414664,3.688675,9.4e-05,3.2e-05
212_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.00399999999998,346.243491,177.363932,8.348741,1.829858,1.492375,3.69326,1.61512,4.6e-05,1.5e-05
213_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.01399999999998,343.547088,177.063361,5.676251,6.606622,13.079776,7.454068,6.275752,8e-05,2.4e-05
214_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.023999999999979,337.753543,182.302066,2.397166,13.992732,0.967284,2.580389,1.432885,6e-05,1.7e-05
215_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.033999999999979,332.997624,182.449681,13.797014,3.077848,4.350685,0.884788,2.095076,6.6e-05,1.8e-05
216_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0439999999999787,318.411827,182.688405,16.442271,11.950378,0.868055,14.236296,1.656624,3.5e-05,1.1e-05
217_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0539999999999785,316.870455,177.740085,8.426559,10.500429,24.282694,5.190326,2.391978,0.000256,8.1e-05
218_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0639999999999783,315.130985,177.49947,3.245229,24.989324,18.358715,10.19198,1.463331,8.3e-05,2.5e-05
219_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.073999999999978,309.639135,178.581195,2.455202,1.848393,2.035716,1.277152,1.08704,0.000103,2.8e-05
220_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.083999999999978,305.693407,216.765993,2.92815,1.091425,3.772451,0.792952,12.340102,5.8e-05,1.9e-05
221_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0939999999999777,300.166228,179.949223,3.533754,11.559997,4.361039,12.199945,3.365021,3.5e-05,1.1e-05
222_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.103999999999977,295.865575,196.593179,6.399124,1.863908,0.784648,1.126756,1.44911,3.1e-05,9e-06
223_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.113999999999977,291.986004,177.33626,0.743038,9.405339,2.57049,2.352508,1.831582,8e-05,2.5e-05
224_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.123999999999977,285.594276,185.42029,0.978279,0.877645,1.795678,1.637931,0.961732,5.3e-05,1.6e-05
225_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.133999999999977,270.526919,176.981442,4.776636,11.766302,2.912131,1.150296,2.673811,7.7e-05,2.6e-05
226_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1439999999999766,258.260482,177.63289,3.760423,6.315808,4.385447,1.285855,3.527166,5.6e-05,1.8e-05
227_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1539999999999764,255.45648,177.022687,5.442679,7.536107,4.982043,4.614861,2.704891,0.000187,6.3e-05
228_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.163999999999976,247.573573,183.095995,4.042624,7.748642,3.882855,2.458897,8.319297,0.000109,3.5e-05
229_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.173999999999976,229.147029,178.337483,1.319305,4.364922,1.94308,0.816918,3.274515,6.1e-05,1.9e-05
