folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_PV,f_WIND_ONSHORE,f_WIND_OFFSHORE,f_CCGT_AMMONIA,f_HYDRO_RIVER,f_CCGT,f_COAL_IGCC,f_COAL_US,f_GEOTHERMAL,f_NUCLEAR
118_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.064,586.047356,59.174989,10.0,6.0,0.938772,0.115,8e-06,0.0,0.0,0.0,0.0
119_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0739999999999994,576.127257,59.174985,10.0,6.0,0.961759,0.115,1e-05,0.0,0.0,0.0,0.0
120_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.083999999999999,570.59089,59.174998,10.0,6.0,0.96967,0.115,1e-06,0.0,0.0,0.0,0.0
121_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.093999999999999,562.472607,59.174998,10.0,6.0,0.981134,0.115,1e-06,0.0,0.0,0.0,0.0
122_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1039999999999988,552.647201,59.174997,10.0,6.0,0.990546,0.115,2e-06,0.0,0.0,0.0,0.0
123_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1139999999999985,542.394361,59.174993,10.0,6.0,0.993052,0.115,5e-06,0.0,0.0,0.0,0.0
124_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1239999999999983,540.850444,59.174993,10.0,6.0,0.99672,0.115,4e-06,0.0,0.0,0.0,0.0
125_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.133999999999998,531.58753,59.174993,10.0,6.0,1.001965,0.115,5e-06,0.0,0.0,0.0,0.0
126_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.143999999999998,531.441855,59.174998,10.0,6.0,1.003377,0.115,2e-06,0.0,0.0,0.0,0.0
127_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1539999999999977,529.617511,59.174888,10.0,6.0,1.014283,0.115,8.6e-05,0.0,0.0,0.0,0.0
128_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.163999999999997,528.45411,59.174986,10.0,6.0,1.000463,0.115,1e-05,0.0,0.0,0.0,0.0
129_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1739999999999973,528.287552,59.174865,10.0,6.0,1.026006,0.115,0.000111,0.0,0.0,0.0,0.0
130_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.183999999999997,527.391183,59.174986,10.0,6.0,0.992699,0.115,1.1e-05,0.0,0.0,0.0,0.0
131_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.193999999999997,527.787104,59.174864,10.0,6.0,1.025493,0.115,0.000102,0.0,0.0,0.0,0.0
132_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2039999999999966,528.216611,59.174837,10.0,6.0,1.02717,0.115,0.00011,0.0,0.0,0.0,0.0
133_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2139999999999964,527.285769,59.17499,10.0,6.0,0.992826,0.115,7e-06,0.0,0.0,0.0,0.0
134_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.223999999999996,526.417692,59.174982,10.0,6.0,1.014484,0.115,1.1e-05,0.0,0.0,0.0,0.0
135_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.233999999999996,522.594035,59.174827,10.0,6.0,1.032581,0.115,0.000117,0.0,0.0,0.0,0.0
136_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.243999999999996,521.315737,59.174998,10.0,6.0,1.03008,0.115,2e-06,0.0,0.0,0.0,0.0
137_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.253999999999996,521.519237,59.174991,10.0,6.0,1.030552,0.115,8e-06,0.0,0.0,0.0,0.0
