folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_IND_DIRECT_ELEC,f_IND_BOILER_GAS,f_IND_COGEN_GAS,f_IND_BOILER_WOOD,f_IND_BOILER_OIL,f_IND_BOILER_WASTE,f_IND_BOILER_COAL,f_IND_COGEN_WOOD,f_IND_COGEN_WASTE
102_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9040000000000008,657.09121,17.525263,6.252353,5.287303,4.217025,1.2e-05,5e-06,3e-06,2e-06,0.0
103_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9140000000000008,656.892902,17.524968,6.252375,5.28737,4.216856,1.5e-05,6e-06,4e-06,2e-06,1e-06
104_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9240000000000008,652.814429,17.522417,6.252192,5.288194,4.215695,9e-06,4e-06,2e-06,1e-06,0.0
105_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9340000000000008,645.339923,17.519229,6.252905,5.290047,4.212919,1.2e-05,5e-06,3e-06,2e-06,0.0
106_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9440000000000008,645.452193,17.519728,6.252913,5.290026,4.212576,2.8e-05,1.2e-05,7e-06,4e-06,1e-06
107_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9540000000000008,643.768936,17.518732,6.253032,5.290414,4.212213,1.5e-05,6e-06,4e-06,2e-06,1e-06
108_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9640000000000009,643.647701,17.518701,6.253057,5.290474,4.210516,2.1e-05,9e-06,5e-06,3e-06,1e-06
109_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9740000000000009,641.598949,17.517879,6.253138,5.290884,4.211117,4e-06,2e-06,1e-06,1e-06,0.0
110_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9840000000000009,639.742306,17.517169,6.253305,5.291322,4.211013,3e-06,1e-06,1e-06,0.0,0.0
111_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9940000000000009,638.845707,17.517178,6.253524,5.291572,4.210623,3.9e-05,1.7e-05,9e-06,7e-06,2e-06
112_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.004000000000001,624.020741,17.505419,6.254706,5.295733,4.204422,1.2e-05,5e-06,3e-06,2e-06,0.0
113_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0140000000000007,621.668854,17.504448,6.254792,5.296252,4.203635,9e-06,4e-06,2e-06,2e-06,0.0
114_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0240000000000005,594.380841,17.486783,6.256624,5.303432,4.192878,2.1e-05,9e-06,5e-06,3e-06,1e-06
115_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0340000000000003,590.740221,17.484488,6.256413,5.303813,4.229801,4e-06,2e-06,1e-06,1e-06,0.0
116_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.044,587.66516,17.481952,6.25657,5.304663,4.230891,1e-06,1e-06,0.0,0.0,0.0
117_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.054,587.605088,17.48192,6.256622,5.304664,4.230964,6e-06,3e-06,2e-06,1e-06,0.0
118_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.064,586.047356,17.480186,6.256951,5.305091,4.230689,3.1e-05,1.4e-05,8e-06,5e-06,1e-06
119_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0739999999999994,576.127257,17.470227,6.257708,5.30802,4.232282,4.1e-05,1.8e-05,1e-05,7e-06,2e-06
120_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.083999999999999,570.59089,17.466353,6.257836,5.309457,4.236328,6e-06,3e-06,1e-06,1e-06,0.0
121_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.093999999999999,562.472607,17.460874,6.258531,5.311686,4.239736,5e-06,2e-06,1e-06,1e-06,0.0
122_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1039999999999988,552.647201,17.45487,6.259282,5.314227,4.243234,8e-06,4e-06,2e-06,1e-06,0.0
123_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1139999999999985,542.394361,17.449358,6.260056,5.31678,4.24438,1.9e-05,8e-06,5e-06,3e-06,1e-06
124_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1239999999999983,540.850444,17.448194,6.260149,5.316601,4.243143,1.8e-05,8e-06,4e-06,3e-06,1e-06
125_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.133999999999998,531.58753,17.442288,6.26094,5.320204,4.211175,2e-05,9e-06,5e-06,3e-06,1e-06
126_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.143999999999998,531.441855,17.442052,6.260841,5.320268,4.212853,7e-06,3e-06,2e-06,1e-06,0.0
127_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1539999999999977,529.617511,17.440208,6.264438,5.320526,4.176555,0.000343,0.000149,8.5e-05,5.3e-05,1.2e-05
128_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.163999999999997,528.45411,17.439952,6.261889,5.321753,4.196083,4.2e-05,1.8e-05,1.1e-05,7e-06,2e-06
129_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1739999999999973,528.287552,17.437487,6.266225,5.320569,4.167306,0.000442,0.000186,0.000111,7e-05,1.5e-05
130_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.183999999999997,527.391183,17.439208,6.26288,5.321808,4.174661,4.7e-05,2e-05,1.2e-05,7e-06,2e-06
131_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.193999999999997,527.787104,17.43702,6.266436,5.320937,4.161391,0.000447,0.000191,0.000114,6.7e-05,1.5e-05
132_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2039999999999966,528.216611,17.4381,6.266347,5.320715,4.166964,0.000452,0.000195,0.000113,7.4e-05,1.7e-05
