folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DHN_HP_ELEC,f_DHN_BOILER_GAS,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DHN_COGEN_WOOD,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DHN_DEEP_GEO
241_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2939999999999734,212.307457,7.806963,3.9e-05,3.7e-05,1.6e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
242_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.303999999999973,205.714908,7.811681,4.1e-05,3.9e-05,1.8e-05,5e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
243_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.313999999999973,202.32492,7.81403,3.3e-05,3.1e-05,1.4e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
244_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3239999999999728,195.811168,7.813628,1.3e-05,1.2e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
245_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3339999999999725,191.971648,7.817211,3.6e-05,3.5e-05,1.4e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
246_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3439999999999723,191.745043,7.820032,3.1e-05,2.9e-05,1.4e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
247_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.353999999999972,191.713559,7.819955,2e-05,1.8e-05,8e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
248_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.363999999999972,186.504536,7.8231,3.5e-05,3e-05,1.5e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
249_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.373999999999972,186.419736,7.823095,1.4e-05,1.3e-05,6e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
250_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3839999999999715,176.021859,7.828709,3.6e-05,3.5e-05,1.5e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
